,CRIME
1,15.72598
2,18.801754
3,30.626781
4,32.38776
5,50.73151
6,26.066658
7,0.178269
8,38.425858
9,30.515917
10,34.000835
11,62.275448
12,56.705669
13,46.716129
14,57.066132
15,48.585487
16,54.838711
17,36.868774
18,43.962486
19,54.521965
20,0.223797
21,40.074074
22,33.705048
23,20.048504
24,38.297871
25,61.299175
26,40.969742
27,52.79443
28,56.919785
29,60.750446
30,68.892044
31,17.677214
32,19.145592
33,41.968163
34,23.974028
35,39.175053
36,14.305556
37,42.445076
38,53.710938
39,19.100863
40,16.241299
41,18.905146
42,16.49189
43,36.663612
44,25.962263
45,29.028488
46,16.530533
47,27.822861
48,26.645266
49,22.541491
